tno,pid,whatHappen,keyFacts,stance
4457,202404080099,美國藝術家波希克（Kurt Perschke）發起的「紅球計畫」於2024年3月29日至4月7日在台南展出，吸引超過10萬人次參與。台南市政府獲授權推出限量紅球紀念品，並在紅球未造訪的場域舉辦互動遊戲，延續活動熱潮。台南市長黃偉哲表示，活動地點包括市立圖書館新總館、新營文化中心等，達成設定條件即可獲得紀念品。台南市文化局長謝仕淵指出，此次展出是紅球計畫第2度造訪台灣，並希望藉此增加對台南的認識及文化行銷。,"1. 美國藝術家波希克（Kurt Perschke）發起的「紅球計畫」於2024年3月29日至4月7日在台南不同景點展出，吸引超過10萬人次參與，成功達到藉藝術帶領遊客認識台南的目標。

2. 台南市政府獲藝術家授權，於2024年4月8日起在紅球未造訪的園區或場域舉辦互動遊戲，參加者達成設定條件即可獲得限量紅球紀念品。

3. 台南市長黃偉哲表示，互動遊戲地點包括市立圖書館新總館、新營文化中心、吳晉淮音樂紀念館、劉啟祥美術紀念館、月之美術館、水交社園區、總爺藝文中心、隆田文化資產教育園區、歸仁文化中心、山上花園水道博物館、左鎮化石園區及噍吧哖事件紀念園區。

4. 台南市文化局長謝仕淵指出，紅球計畫曾於2010年造訪台北，此次是第2度造訪台灣，並且今年適逢台南400周年，古蹟區販賣部將推出購買滿新台幣400元商品贈送限量紅球紀念品的活動。

5. 謝仕淵希望透過延伸紅球活動，讓更多人走進台南，增加參加者對園區及周遭環境的認識，達到文化行銷的目的。","台南市政府：獲藝術家授權推出限量紅球紀念品，選擇紅球沒有造訪景點舉辦互動遊戲，達成設定條件就可把小紅球帶回家。

台南市政府：活動共吸引超過10萬人次參與，成功達到藉藝術帶領遊客認識台南目標，並決定在紅球沒有到的園區或場域舉辦互動遊戲，延續活動熱潮。

黃偉哲：藝術家此次擇定展現台南發展重要水文地景展出，因此大多集中在早年河港生活圈附近，為了將紅球話題擴散到全市，由文化局選擇紅球此次未造訪場域，推出不同互動遊戲。

黃偉哲：推出活動地點包括市立圖書館新總館、新營文化中心、吳晉淮音樂紀念館、劉啟祥美術紀念館、月之美術館、水交社園區、總爺藝文中心、隆田文化資產教育園區、歸仁文化中心、山上花園水道博物館、左鎮化石園區、噍吧哖事件紀念園區，達成設定條件就可獲限量紅球紀念品。

謝仕淵：紅球曾於2010年造訪台北，此次台南展出是第2度造訪台灣，10天活動期間天天都有話題，今年又逢台南400，古蹟區販賣部也將推出購買滿新台幣400元商品，贈送限量紅球紀念品。

謝仕淵：希望透過延伸紅球活動，讓更多人走進台南，增加參加者對園區及周遭環境認識，也可達到文化行銷目的。"
4457,202404070159,紅球台南歷史街區策展行動於2024年4月7日落幕，吸引超過10萬人次觀眾，掀起全民「追球」熱潮。台南市政府文化局長謝仕淵表示，活動以美國藝術家獨特視角，透過高彩度紅球景觀，帶領觀眾重新探索台南歷史街區。活動期間，民眾創意取景拍照，與古都人文歷史對話，並促成網路上多樣化歷史人文回顧。謝仕淵指出，紅球計畫展現台南蓬勃文化生命力，期待未來歷史環境與藝術互動更加繽紛多彩。,"1. 2024年4月7日，紅球台南歷史街區策展行動10天展期落幕，台南市政府統計共吸引超過10萬人次觀眾，掀起全民「追球」熱潮，成為近年台灣少見大型互動街頭藝術盛事。

2. 台南市政府文化局長謝仕淵表示，活動以美國藝術家獨特視角，探索台南歷史街區生活場景，透過高彩度紅球景觀衝擊，每天在不同景點創造不同夾揉角度，帶領觀眾重新探索古蹟、窄巷、水面等歷史場域。

3. 活動期間吸引來自各界熱烈響應，促成網路上多樣化歷史人文回顧，現場畫家寫生、傳統與現代舞共演、老店產品共創、吉祥物趣味互動等，共有超過10萬人次觀眾參與，深度體驗台南「生活博物館」內涵。

4. 紅球每日充氣、消氣過程吸引人潮圍觀，彷彿是可讓人感到療癒之情的日常生活縮影，展現台南蓬勃文化生命力。

5. 謝仕淵期待未來歷史環境與藝術互動更加繽紛多彩，結合人文、環境與藝術，開創進化為內容更豐富的生活博物館。","台南市政府文化局長謝仕淵：這次活動以美國藝術家獨特視角，探索台南歷史街區生活場景，透過高彩度紅球景觀衝擊，每天在不同景點創造不同夾揉角度，吸睛效果十足，帶領觀眾重新探索古蹟、窄巷、水面等歷史場域。

台南市政府文化局長謝仕淵：不少民眾參觀時發揮創意取景拍照，更與古都人文歷史、環境產生對話，讓紅球計畫成為以視覺溝通和藝術共創活動，每個人都在視覺、藝術及歷史爬梳中展開獨特對話，重新認識並一起擁有這次豐富盛宴。

台南市政府文化局長謝仕淵：活動期間吸引來自各界熱烈響應，不僅促成網路上多樣化歷史人文回顧，現場畫家寫生、傳統與現代舞共演、老店產品共創、吉祥物趣味互動等，共有超過10萬人次觀眾參與，深度體驗台南「生活博物館」內涵。

台南市政府文化局長謝仕淵：紅球每日充氣、消氣過程就吸引人潮圍觀，彷彿是可讓人感到療癒之情的日常生活縮影，「紅球計畫」10天所帶來的衝擊，展現台南蓬勃文化生命力，也期待未來歷史環境與藝術互動更加繽紛多彩，結合人文、環境與藝術，開創進化為內容更豐富的生活博物館。"
4457,202404070132,紅球台南歷史街區策展行動最終站於2024年4月7日在台南古蹟大南門城登場。美國藝術家波希克發起的紅球計畫，自3月29日起連續10天在台南不同景點展出，吸引大量人潮。策展人黃若珣表示，活動成功引起熱烈討論，達到帶領民眾造訪歷史街區的目標。台南市長黃偉哲到場致意，感謝波希克將國際級活動帶進台南，並表示紅球計畫帶來的關注超出預期。,"1. 2024年4月7日，紅球台南歷史街區策展行動最終站在台南古蹟大南門城登場，紅球擺放於寧南門，吸引大批民眾圍觀。

2. 美國藝術家波希克發起的紅球計畫，自3月29日起連續10天在台南不同景點出現，最終站選擇在中西區南門公園內的古蹟台灣府城大南門。

3. 策展團隊安排建興國中擊鼓隊及舞蹈團進行開場演出，並準備紅色手絹等紀念品送給波希克，波希克在開展前向到場民眾致意。

4. 主辦單位分批開放民眾進入外廓與城門間空間，讓入場民眾近距離與紅球互動拍照，體驗「甕城」，城門外排隊人龍未中斷。

5. 台南市長黃偉哲到場向波希克致意，感謝波希克把國際級活動帶進台南，並表示紅球計畫帶來的人潮與關注遠超過預期。","波希克：此次台南行相當成功，南門公園環境相當優美，很適合全家出遊休憩，也很感謝大家支持這次活動。

黃若珣：原本擔心紅球計畫在台灣的知名度不夠，沒想到熱度超過預期很多，連波希克都對這個熱潮感到意外。此次活動目標是帶民眾跟著紅球造訪不同歷史街區，創造話題，讓大家更能感受台南文化底蘊。

黃偉哲：感謝波希克把國際級活動帶進台南。看起來只是一個沒什麼了不起的球，但背後帶給大家的想像空間無限。紅球帶來的人潮與關注，遠遠超過先前估算與想像。雖然很想邀請紅球再到台南，但可能要看波希克願不願意為台南破例。"
4457,202404060116,紅球台南歷史街區策展行動今天（2024年04月06日）移展竹溪水岸園區月見橋，因外觀較不規則，有民眾擔心是否與昨天（2024年04月05日）被刺破有關，策展團隊澄清破洞已補好不會影響。美國藝術家波希克發起的「紅球計畫」自3月29日起在台南不同景點展出，今天進入第9天，吸引大量民眾參觀。策展人黃若珣表示，紅球今天的擺放位置原本就規劃為不規則形狀，明天（2024年04月07日）將在大南門城進行最後一場展出。,"1. 2024年04月06日，紅球台南歷史街區策展行動移展至竹溪水岸園區月見橋，紅球「塞」在橋下步道與支架間，吸引大量民眾圍觀，並出現排隊人潮。

2. 策展團隊澄清紅球破洞已於2024年04月05日修補完成，並表示紅球擺放位置原本就規劃為較「不規則」形狀，不會影響今、明兩天的展出。

3. 2024年04月05日，新化區場次佈展時紅球被鷹架刺破，經緊急修補後重新開放參觀，仍有民眾擔心是否影響後續展出。

4. 策展人黃若珣表示，竹溪水岸園區經整治後成為適合遊憩的場所，希望紅球能帶更多民眾感受竹溪流域的變化。

5. 2024年04月07日，紅球台南歷史街區策展行動將在大南門城進行最後一場展出，策展人表示前幾場活動受歡迎程度超乎預期，波希克對台灣民眾的熱情留下深刻印象。","黃若珣：紅球破洞已在昨天（2024年04月05日）確實修補完成，今、明2天場次都不受影響，紅球今天（2024年04月06日）擺放位置在橋下步道空間，原本就規劃配合地景會是較「不規則」形狀，大家不用擔心。

黃若珣：竹溪是台南市區重要歷史河道，在都市發展過程中擔負「大排」功能，也就是曾經變成大水溝，但竹溪水岸園區河段近年經整治後，已成為相當適合遊憩場所，相信還有很多台南人沒有造訪過，不知道園區內有美麗的橋及水景，希望這次紅球能帶更多民眾感受竹溪流域變化。

黃若珣：明天（2024年04月07日）在大南門城將是此次紅球造訪台南最後場次，前幾場辦下來發現受歡迎程度超乎預期，至今收到網友及現場參觀民眾回饋也很豐富，波希克對台灣民眾熱情留下深刻印象。"
4457,202404050199,紅球台南歷史街區策展行動於2024年4月5日移展至新化區歷史建築原新化街役場，上午充氣時遭鷹架刺破，經緊急修復後於下午3時重新亮相。美國藝術家波希克發起的「紅球計畫」自3月29日起在台南不同景點展出，今天是第8天。適逢清明連假，新化老街區吸引大量遊客。策展人黃若珣表示，展出時間延至太陽下山，讓更多人有機會近距離參觀。波希克在修補處簽字留念，象徵紅球將繼續環遊世界。,"1. 2024年4月5日，紅球台南歷史街區策展行動移展至新化區歷史建築原新化街役場，上午充氣時遭鷹架刺破，經緊急修復後於下午3時重新亮相。

2. 美國藝術家波希克發起的「紅球計畫」，自3月29日起在台南不同景點展出，4月5日是第8天，移展至新化區，這是此次唯一在原台南縣轄區的景點。

3. 因紅球在正式開展前被鷹架刺破，策展單位宣布緊急修復，並於下午3時重新亮相，吸引大量遊客前往新化老街區，造成車潮和人潮擁擠。

4. 原本紅球計畫是在兩棟建物間架鷹架充氣，後改為置放在地面，參觀動線也調整為前、後兩個近距離互動區，分批限時開放民眾進入互動。

5. 策展人黃若珣表示，波希克重視自然光線，不考慮夜間燈光展出，展出時間延至太陽下山，卸展時間從原定的5時延後到6時，讓更多人有機會參觀。","波希克：波希克相當重視自然光線，不考慮在夜間加設燈光展出。

黃若珣：今天展出時間只能儘量往後延至太陽下山，卸展時間預計從原定的5時延後到6時，在有限時間內，讓大家有機會近距離參觀。

彰化遊客：其實看紅球只是規劃今天遊程的動機，重點是感受新化當地的人文風情，對歷史街區也有更多認識。

策展團隊人員：波希克特別於完成修復後，在紅球修補處簽上「REDBALL TAINAN 2024」字樣留念，從此跟著紅球環遊世界，藝術家也希望大家能夠理解，街頭藝術、公共藝術本質就是持續與環境互動，就算發生任何危機或特殊狀況，都能夠重整旗鼓、重新開始。"
4457,202404050098,紅球台南歷史街區策展行動於2024年4月5日移展至新化區歷史建築原新化街役場，但在充氣過程中遭鷹架刺破。台南市文化局長謝仕淵表示，因展出地點為歷史建築，充氣時以鋼架分擔壓力，但因鷹架太銳利，紅球被刺破。策展團隊決定原地修復，預計下午3時完成充氣重新展出，並將卸展時間延後至下午6時。策展人黃若珣表示，紅球將改置於地面上，讓觀眾能近距離接觸。,"1. 2024年4月5日，紅球台南歷史街區策展行動移展至新化區歷史建築原新化街役場，但在充氣過程中遭鷹架刺破，策展團隊決定原地修復，目標在下午3時完成充氣重新展出。

2. 台南市文化局長謝仕淵表示，由於展出地點為歷史建築，藝術家規劃較為謹慎，充氣時以鋼架分擔建築物壓力，但因鷹架太銳利，刺破紅球一個洞，類似情況曾在美國展出時發生。

3. 藝術家檢視後發現破裂部位可修補，工作人員使用專用修補工具處理，預計在下午3時前完成修復，重新充氣展出，並將卸展時間從原訂的下午5時延後至6時。

4. 策展人黃若珣表示，原計畫是在兩棟建物間架鷹架充氣，讓紅球卡在建物間供觀眾通過，但因破裂改為置放在地面上，修復後能較快重新布展，讓民眾有時間近距離接觸紅球。

5. 美國藝術家波希克發起的「紅球計畫」自3月29日起在台南連續10天展出，4月5日進入第8天行程，原新化街役場是唯一在原台南縣轄內景點，上午10時開展前紅球被刺破，隨即展開緊急修復。","謝仕淵：因展出地點為歷史建築，藝術家規劃比較謹慎，充氣時以架設鋼架方式分擔兩側建築物承受壓力，不料因鷹架太銳利，將紅球刺破一個洞。

謝仕淵：經藝術家檢視後，發現破裂部位還在可修補範圍，已經在工作人員協助下，使用專用修補工具處理，希望能在下午3時前完成修復，重新充氣展出，並將卸展時間從原訂的下午5時延後至6時。

黃若珣：原本規劃是在原新化街役場建物與旁邊另一棟建物間通道架起鷹架，把紅球置放在鷹架上方充氣，預計充氣完成後移開鷹架，讓紅球「卡」在兩棟建物間，下方空間可供觀眾通過，是此次在台南10場次中，唯一可讓觀眾在下方與紅球互動場次。

黃若珣：依原計畫需要約3小時準備及為紅球充氣，加上原創藝術家相當重視自然光線，不考慮在夜間加設燈光展出，因此將改為把紅球置放在地面上，修復完成後能較快重新布展，還可讓到場民眾有時間與紅球近距離接觸。"
4457,202404050054,紅球台南歷史街區策展行動今天（2024年04月05日）移展至新化區歷史建築原新化街役場，計畫在兩棟建物間架高紅球，讓觀眾從紅球下方通過。然而，紅球在充氣過程中被鷹架尖銳處刺破，策展團隊緊急修復。美國藝術家波希克（Kurt Perschke）發起的「紅球計畫」自3月29日起在台南不同景點展出，今天進入第8天行程。策展團隊與波希克討論後，決定消氣修復紅球，再視修復進度決定活動是否持續進行。,"1. 2024年4月5日，紅球台南歷史街區策展行動移展至新化區歷史建築原新化街役場，計畫在兩棟建物間通道架高，營造讓觀眾可從紅球下方通過的互動場域。

2. 策展團隊於上午6時抵達現場，架起金屬鷹架並將紅球置放在鷹架上方充氣，預計充氣完成後移開鷹架，讓紅球卡在兩棟建物間，下方有約180公分高空間供觀眾通過。

3. 上午9時許，現場湧入許多圍觀民眾並開始排隊，等候10時活動正式展開時近距離與紅球互動。

4. 上午9時50分左右，紅球在充氣過程中被鷹架上方尖銳處刺破，策展團隊確認紅球破損後，決定將紅球消氣並試圖修復。

5. 策展團隊與波希克討論後，決定視修復進度決定當天活動是否持續進行，現場排隊民眾則仍圍著紅球拍照，有人直呼好可惜，也有人認為紅球破掉也是難得機緣。","策展團隊：紅球被鷹架上方尖銳處刺破一個洞，決定將紅球消氣並試圖修復，再視修復進度決定今天活動是否持續進行。

現場排隊民眾：有人直呼好可惜，也有人說，紅球破掉也是難得機緣，仍值得紀念。"
4457,202404040175,美國藝術家波希克（Kurt Perschke）發起的「紅球計畫」將於2024年4月5日移展至台南歷史建築原新化街役場，這是此次唯一位於合併升格前台南縣的景點。該計畫自3月29日起在台南不同景點展出，吸引大量民眾參觀。台南市政府文化局表示，波希克將搭乘紅球專車進行一日現地創作，並提供計程車共乘服務。此次活動最終站為4月7日的大南門城，並與成功大學博物館合作推出平行展，持續至4月10日。,"1. 2024年4月5日，紅球台南歷史街區策展行動將移展到歷史建築原新化街役場，這是此次唯一位於合併升格前台南縣轄景點。市府建議遊客可利用合作計程車隊共乘服務。

2. 美國藝術家波希克（Kurt Perschke）發起的「紅球計畫」，從2024年3月29日起連續10天在台南不同景點出現，吸引不少民眾湧入一探究竟。此次選擇的10個景點中，除了原新化街役場，其他都位於台南早期都市發展核心地區。

3. 2024年4月5日，波希克將搭乘此次活動合作廠商打造的紅球專車前往新化進行一日現地創作，遊客可利用活動合作計程車隊提供的共乘服務。

4. 波希克去年（2023年）底到台南選擇活動地點時，曾造訪鹽水歷史街區，考慮過魚鱗巷、連成巷、王爺巷等巷弄，以及永成戲院、八角樓等歷史文化景點，但因考量人潮、光線、民眾參觀安全性等因素，最終選擇新化區。

5. 紅球台南計畫最終站為2024年4月7日在大南門城，市府希望喜愛此次活動的民眾一起到展出地點南門公園，用台南人的日常向紅球道別。與成功大學博物館合作推出的平行展將持續展出至4月10日。","台南市政府文化局：新化是依地緣而生的典型淺山聚落，在水運、陸運發展年代是山產集散地，也是交通轉運、集貨貿易樞紐。

台南市政府文化局：波希克明天（2024年04月05日）將搭乘此次活動合作廠商打造的紅球專車前往進行一日現地創作，遊客則可利用活動合作計程車隊提供晶英酒店至新化、高鐵站至新化共乘服務。

台南市政府文化局：波希克去年（2023年）底到台南選擇活動地點時，也曾造訪鹽水歷史街區，非常喜歡魚鱗巷、連成巷、王爺巷等巷弄，也考慮過永成戲院、八角樓等可彰顯歷史文化景點，但後來考量人潮、光線、民眾參觀安全性等因素，還是得做出取捨。

黃若珣：此次選擇新化區，除了可象徵著山海交匯之城，原新化街役場也象徵曾為方便快捷重要據點，位於轉角處優勢，提供各方向來往民眾視覺饗宴，還可彰顯西洋歷史式樣風格，在台南400年時光旅程中營造歷史街區樣貌。

台南市文化局：此次紅球台南計畫最終站為7日在大南門城，希望喜愛此次活動的民眾一起到展出地點南門公園，用台南人的日常向紅球道別，另外，與成功大學博物館合作推出紅球台南歷史街區策展行動平行展，將持續展出至10日，提供完整行動論述與台南城市空間歷史發展。"
4457,202404040104,紅球台南歷史街區策展行動於2024年4月4日移展至河樂廣場，吸引大量遊客。美國藝術家波希克發起的「紅球計畫」自3月29日起在台南不同景點展出，至今已進行至第7天。策展人黃若珣表示，此次活動無特定參觀動線，民眾可自由互動拍照。河樂廣場為台南市區最大的親水廣場，曾被富比世雜誌譽為「全世界最值得期待的七大公園」之一。紅球計畫將於明天（4月5日）繼續在新化街役場等地展出。,"1. 2024年4月4日，紅球台南歷史街區策展行動移展至河樂廣場，出現在廣場中央接近金華路下方親水區。適逢假日和炎熱天氣，吸引大量戲水人潮和遊客，現場熱鬧非凡。

2. 美國藝術家波希克發起的「紅球計畫」自3月29日起在台南不同景點出現，今天進入第7天行程，移展至高人氣親水景點河樂廣場。上午11時正式開放，策展過程吸引不少民眾圍觀。

3. 策展人黃若珣表示，此次策展主題配合台南水文環境走訪歷史街區，今天是第7個景點，首次與水環境結合。波希克對河樂廣場印象深刻，讓遊客一邊玩水一邊親近紅球，符合其想法。

4. 台南市政府指出，河樂廣場為原中國城舊址，經拆除後改建為親水公園，於2020年3月7日開幕。公園內保留部分中國城遺構，展示台南府城運河碼頭和中國城興衰歷史，成為具有歷史足跡的場所。

5. 波希克2001年發起「紅球計畫」，迄今遊歷全球40多個知名城市，此次造訪台南預計在10個景點出現。明天起將依序在新化街役場、竹溪公園月見橋、大南門城登場。","黃若珣：此次在策展主題是配合台南水文環境走訪歷史街區，但到今天第7個景點，才有機會實實在在與水環境結合，讓遊客一邊玩水一邊親近紅球，也最符合波希克想法。

黃若珣：今天活動現場沒有規劃參觀動線及管制措施，看到不少民眾是親子一起出遊，氣氛很歡樂，大家在注意安全及原本場地使用規則情況下，想怎麼玩就怎麼玩。

台南市政府：河樂廣場為原中國城舊址，曾是台南重要商圈之一，經拆除後改建為親水公園，於2020年3月7日開幕，為台南市區最大的親水廣場，更曾被富比世雜誌譽為「全世界最值得期待的七大公園」之一。"
4457,202404030287,美國藝術家波希克（Kurt Perschke）發起的「紅球計畫」於2024年4月3日移展至台南市美術館二館，吸引大批民眾前來拍照互動。該計畫自3月29日起在台南不同景點展出，當天進入第6天行程。儘管上午發生地震，活動仍按計畫進行。台南市副市長趙卿惠到場致意，策展人黃若珣表示，因參觀人潮眾多，策展團隊規劃了近距離參觀動線及分批管制措施。活動期間，加入官方LINE帳號可享購票優惠並獲贈小禮物。,"1. 2024年4月3日，紅球台南歷史街區策展行動移展至台南市美術館二館，紅球在南側府前路入口處出現，吸引大批民眾前往排隊與紅球拍照、互動。

2. 美國藝術家波希克發起的「紅球計畫」，自3月29日起連續10天在台南不同景點出現，2024年4月3日進入第6天行程，移展至台南美術館二館，活動於11時正式開始。

3. 台南市副市長趙卿惠在中午左右到場向策展團隊致意，波希克不時出現在紅球附近，注意展出過程狀況，並與民眾合影。

4. 策展人黃若珣表示，因參觀人潮踴躍，策展團隊規劃近距離參觀動線及分批管制，並提醒民眾注意防曬及補充水分。

5. 台南市美術館推出優惠措施，加入「紅球台南丨瑞波波」官方LINE帳號好友可享一般票半價優惠，購票民眾在南美館官方社群按讚或打卡可獲贈活動紀念小禮物。","波希克：紅球計畫在台南不同景點出現，今天進入第6天行程，移展至台南美術館二館，活動依計畫進行。

台南市副市長趙卿惠：中午左右到場向策展團隊致意。

黃若珣：南美館建築物相當有特色，原本傾向把紅球設在露台處，但考量參觀人潮踴躍及安全顧慮，最後選擇在建物南側府前路出入口。

台南市美術館人員：在出入口內側與外側分別設有近距離參觀動線，館外為開放空間，入館仍需購票，館方配合推出優惠措施。"
