tno,pid,latest
4588,202409260269,中國國防部宣布共軍於2024年9月25日向太平洋公海發射洲際彈道飛彈，稱為例行性軍事訓練，未公布飛彈型號及具體訊息。
4588,202409260244,中國在太平洋試射洲際彈道飛彈，落在法屬玻里尼西亞專屬經濟區附近，引發區域各國抗議。
4588,202409260193,共軍試射洲際彈道飛彈，總統府嚴正譴責，呼籲中國自制回到國際常軌，維護區域和平穩定。
4588,202409260185,中國國防部於9月25日發射洲際彈道飛彈，外交部譴責其威脅區域和平，印太國家表達關切。
4588,202409260177,中共解放軍25日向太平洋公海海域發射洲際彈道飛彈，這是年度例行訓練，主要嚇阻對象為美國。台灣國防部表示已掌握共軍動態。
4588,202409260150,中共在台海周邊進行飛彈試射及軍演，國防部指出其目的是威懾周邊國家並顯露軍事力量。最新進展為中共軍機及無人機多次逾越中線，國軍已嚴密應對。
4588,202409260145,共軍於2024年9月25日試射洲際彈道飛彈，行政院譴責中國威脅區域和平，強調台灣將與美國等國家合作維持區域穩定。
4588,202409260138,中國睽違40多年再次朝太平洋方向試射洲際飛彈，五角大廈證實中方事前通知並予以肯定。此次試射是火箭軍年度軍事訓練例行性安排。
4588,202409260128,"中國國防部發布，共軍向太平洋公海海域成功發射1發攜載訓練模擬彈頭的洲際彈道飛彈（ICBM）。民進黨立法院黨團幹事長吳思瑤今天（2024年09月26日）受訪說，民進黨團要譴責武力挑釁的行為，以及這種破壞國際和平秩序的作為。民進黨立法院黨團今天（2024年09月26日）召開輿情回應記者會，對於共軍發射洲際飛彈，吳思瑤說，中國時隔44年後對太平洋試射洲際飛彈，引起國際關注，認為這除了是在劍指民主同盟國家，也是向全世界進行軍事武力的威嚇行為。吳思瑤表示，她相信台灣的國防、外交乃至於陸委會等單位，應當會發布非常嚴正的譴責或聲明，站在民進黨團的立場，當然要譴責武力挑釁的行為，以及譴責中共這種破壞國際和平秩序的作為。吳思瑤指出，在全球共同致力於區域和平穩定的同時，只有中國一再持續在區域間，進行各項破壞和平現狀的軍事行動，這令人非常難以理解。吳思瑤質疑，為何在野黨永遠不敢對發起軍事挑釁的中國，進行任何譴責，民進黨團支持政府在正確的外交國防戰略路線上前進，台灣也更會善盡全球和平貢獻者的角色。

新聞爆發原因：中國國防部發布，共軍向太平洋公海海域成功發射洲際彈道飛彈。
最新進展：民進黨立法院黨團幹事長吳思瑤譴責中國的武力挑釁行為，並召開記者會表達立場。"
4588,202409260029,日本海上自衛隊護衛艦「漣號」首次通過台灣海峽，因應中國軍事威脅。最新進展為日本與澳洲、紐西蘭海軍在南海舉行聯合演習。
4588,202409260013,中國國防部於2024年9月25日成功發射攜載訓練模擬彈頭的洲際彈道飛彈（ICBM），射程涵蓋美國本土，顯示對美國的訊息。此次發射是年度軍事訓練例行性安排，符合國際法和國際慣例。
4588,202409250360,中國今早向太平洋發射洲際彈道飛彈，引發日本及紐西蘭的關切。日本對中國國防預算大增及缺乏透明度表示嚴重關切，紐西蘭則稱此舉不受歡迎且令人不安。
4588,202409250336,中國國防部於2024年9月25日宣布成功發射洲際彈道飛彈，展示戰略核威懾力量。珠海航展將於11月舉行，展示新型戰機和裝備。
4588,202409250295,中國國防部於2024年9月25日成功發射洲際彈道飛彈，彈頭落在夏威夷南方公海。此次發射為年度軍事訓練，符合國際法。
4588,202409250108,中共火箭軍於2024年9月25日發射洲際彈道飛彈進行年度軍事訓練，國防部同步掌握並適切應處。
4588,202409250095,中國國防部於2024年9月25日早上成功發射攜載訓練模擬彈頭的洲際彈道飛彈，屬年度軍事訓練例行性安排，並提前通報有關國家。
