tno,pid,whatHappen,keyFacts,stance
4590,202410040019,"美國碼頭工人與港口營運商已達成暫時協議，結束了持續3天的罷工，這次罷工曾導致美國東岸與墨西哥灣沿岸的海運停擺。根據熟知內情的消息人士透露，暫時協議內容包括在未來6年內加薪約62%。國際碼頭工人協會（International Longshoremen's Association, ILA）原先要求加薪77%，而美國海運聯盟（United States Maritime Alliance, USMX）則提議加薪近50%。雙方同意將主合約延長至2025年1月15日，屆時將重新協商所有未決議題。協議立即生效，所有罷工行動停止，工作恢復正常。","1. 2024年10月03日，美國碼頭工人與港口營運商達成暫時協議，結束了持續3天的罷工，恢復美國東岸與墨西哥灣沿岸的海運運作。

2. 暫時協議內容包括在未來6年內加薪約62%，這是國際碼頭工人協會與美國海運聯盟協商的結果。

3. 國際碼頭工人協會原先要求加薪77%，而美國海運聯盟則提議加薪近50%，最終達成的協議在這兩者之間。

4. 國際碼頭工人協會與美國海運聯盟同意將主合約延長至2025年1月15日，屆時將重新協商所有未決議題。

5. 聲明中指出，協議立即生效，所有罷工行動停止，並恢復主合約涵蓋的所有工作。","國際碼頭工人協會：國際碼頭工人協會（ILA）先前要求加薪幅度77%，並已與美國海運聯盟達成暫時協議，將把主合約延長至2025年1月15日，屆時再回到談桌協商所有未決議題。

美國海運聯盟：美國海運聯盟（USMX）提議加薪近50%，並已與國際碼頭工人協會達成暫時協議，將把主合約延長至2025年1月15日，屆時再回到談桌協商所有未決議題。

熟知內情的消息人士：消息人士透露，暫時協議的內容是6年內加薪約62%，並表示所有目前的罷工行動將立即停止，主合約涵蓋的所有工作將恢復。"
4590,202410030229,美國東岸碼頭工人罷工於2024年10月1日開始，進入第2天，吸引更多勞工團體支持。約4萬5000名「國際碼頭工人協會」（ILA）成員因未能與「美國海運聯盟」（USMX）達成新勞資協議，發起近50年來首次大規模罷工，影響全美約半數海運業務。美國運輸部長布塔朱吉（Pete Buttigieg）表示，港務及船務公司應提供更優渥的薪酬條件，並呼籲雙方重返談判桌。美國總統拜登（Joe Biden）政府不打算介入，但強調集體談判權的重要性。USMX表示希望很快重啟談判，而ILA尚未收到資方談判消息。,"1. 2024年10月01日凌晨，美國東岸碼頭工人展開近50年來首次大規模罷工，約4萬5000名加入「國際碼頭工人協會」（ILA）的勞工參與，導致全美約半數海運業務停擺。

2. 2024年10月02日，拜登政府呼籲資方提出更優渥的薪酬條件，以期在總統大選前結束罷工，但表明不打算介入罷工行動，強調「集體談判權」的重要性。

3. 美國運輸部長布塔朱吉在2024年10月02日接受CNBC訪問時表示，勞資雙方在經濟層面的歧見可能不大，呼籲雙方回到談判桌上解決問題。

4. 2024年10月02日下午，ILA發言人表示尚未收到資方的談判消息，工會高層和「國際運輸工人工會」部分成員加入罷工糾察任務。

5. 2024年10月02日稍晚，「美國海運聯盟」（USMX）表示希望很快重啟勞資談判。","美國運輸部長布塔朱吉：這場罷工有望很快落幕，港務及船務公司在獲取「令人難以置信」的獲利後，必須開出更優渥的薪酬條件。他認為勞資雙方在經濟層面的歧見可能沒有想像中那麼大，並呼籲雙方回到談判桌上解決問題。

ILA發言人：尚未收到資方的談判相關消息，工會高層已前往現場參與罷工糾察任務。

USMX：希望很快就能重啟勞資談判。

美國總統拜登：政府不打算介入罷工行動，但強調「集體談判權」的重要性。"
4590,202410020177,美國東岸和墨西哥灣沿岸的港口碼頭工人於當地時間1日凌晨發起近50年來首次大規模罷工，導致全美約一半的海運業務停擺。這次罷工對歐洲汽車製造商影響尤甚，因其高度依賴這些港口。代表4萬5000名港口工人的「國際碼頭工人協會」（ILA）與美國海運聯盟（USMX）就新的6年合約談判未果。汽車創新聯盟執行長波賽拉（John Bozzella）警告，長時間罷工將削弱汽車供應鏈，對美國經濟和國安構成威脅。HCS International執行長休斯（Steve Hughes）指出，零件短缺將對汽車製造商造成傷害。,"1. 2023年10月1日，美國東岸和墨西哥灣沿岸的港口碼頭工人展開近50年來首次大規模罷工，導致全美約一半的海運業務停擺。

2. 國際碼頭工人協會（ILA）與美國海運聯盟（USMX）就新的6年合約進行談判，但未達成共識，罷工影響了美國34%的機動車輛和零件貿易。

3. 汽車創新聯盟（Alliance for Automotive Innovation）執行長波賽拉（John Bozzella）表示，長時間罷工將削弱汽車供應鏈，對汽車產業和消費者構成傷害。

4. HCS International執行長休斯（Steve Hughes）指出，罷工若持續數週，將對汽車製造商造成零件短缺的傷害，影響生產。","國際碼頭工人協會（ILA）：正在與美國海運聯盟（USMX）就一份新的6年合約進行談判，但始終未達成共識。

汽車創新聯盟（Alliance for Automotive Innovation）：執行長波賽拉（John Bozzella）表示，長時間罷工將削弱汽車供應鏈，並在全美引發經濟和國安連鎖反應，進而對汽車產業和消費者構成傷害。

HCS International：執行長休斯（Steve Hughes）指出，如罷工持續數週，將是場悲劇，零件短缺肯定會造成傷害。"
4590,202410020122,2024年10月2日，全球金融市場受到多重因素影響。伊朗飛彈空襲以色列及美國港口大罷工引發市場不安，美股四大指數全數下跌，其中那斯達克指數跌幅達1.53%。科技股如蘋果、輝達及超微均出現下跌。亞洲市場方面，日經指數盤中大跌超過750點，香港股市則大漲逾千點。台灣因颱風山陀兒來襲，當日股市休市。法人表示，需持續關注中東局勢及美國罷工對物流鏈的影響，尤其是外資在台指期淨空單增加的情況。,"1. 2024年10月02日，伊朗飛彈空襲以色列，導致以色列與伊朗之間的緊張局勢升高，成為國際關注的焦點。

2. 2024年10月02日，美國港口工人發起大罷工，對物流鏈造成影響，法人分析指出，若罷工持續，可能導致塞港問題。

3. 2024年10月02日，美股四大指數收盤齊跌，受中東局勢緊張、美國港口罷工及9月製造業PMI指數疲弱等因素影響，道瓊工業指數下跌173.18點，標普500指數下挫53.73點，那斯達克指數下跌278.81點，費城半導體指數大跌148.12點。

4. 2024年10月02日，颱風山陀兒來襲，台灣全境停班停課，台股集中交易市場休市一天，台指期夜盤下跌291點，法人指出外資在台指期淨空單增加至近4萬口。

5. 2024年10月02日，亞洲股市波動，日本日經指數盤中大跌超過750點，香港股市盤中大漲近1300點，顯示市場對中東局勢及美國港口罷工的反應。","法人：持續觀察中東局勢以及美國碼頭工人罷工等變數，留意美工人罷工對物流鏈影響。

本土證券法人：國際股市受到中東局勢嚴峻、美國港口罷工等因素干擾，國際油價攀升，持續觀察伊朗飛彈空襲以色列、以及美國碼頭工人罷工衝擊等因素後續發展。

法人分析：美國碼頭工人罷工1天，物流鏈大約需要4到6天消化貨量，若拖長到1週，或是在中國十一長假後，預期將衝擊物流鏈導致塞港。

法人指出：外資在台指期淨空單增加至近4萬口，須留意漲多震盪修正乖離的疑慮。"
4590,202410020039,國際碼頭工人協會（ILA）因6年勞工協議談判僵局，於紐澤西州伊利沙白市APM碼頭發起自1977年以來的首次罷工，影響美國東岸與墨西哥灣沿岸多個港口。副主席霍爾（Herbert Hall）表示，罷工不僅關乎薪資，更關乎未來，特別是對自動化和人工智慧的擔憂。工人要求更高工資及自動化影響的保障。美國海運聯盟（USMX）提議調薪50%，但工會認為不足，因考慮到30%的通膨率，實際加薪僅20%。罷工工人強調家庭傳承及工作貢獻，要求更完善的保護措施。,"1. 2023年，國際碼頭工人協會（ILA）因6年勞工協議談判僵局，發起自1977年以來的首場罷工。罷工影響美國東岸與墨西哥灣沿岸數十座港口，包括紐澤西州伊利沙白市的APM碼頭。

2. 罷工的主要訴求是提供更優渥的工資，並保障不會受到自動化影響。工會成員認為現有的保護措施不足，要求更完善的保護。

3. 美國海運聯盟（USMX）宣布重啟會談，並提議調漲工資50%，但國際碼頭工人協會拒絕此提議，認為考慮到30%的通膨率，實際加薪僅20%。

4. 罷工現場，約400名工人聚集在APM碼頭外，表達對自動化和工資問題的擔憂。罷工標語強調「機器無法餵飽家人」和「自動化會傷害家庭」。

5. 家庭關係在港口工人間普遍存在，許多工人希望保住工作以支持家庭和子女教育。工會成員強調他們在疫情期間的貢獻，要求應得的待遇。","國際碼頭工人協會（International Longshoremen's Association, ILA）：發起自1977年以來的首場罷工，要求更優渥的工資和保障不受自動化影響，認為現有措施不足。

霍爾（Herbert Hall, 副主席）：強調罷工不僅關於金錢，還關乎未來，要求保住飯碗，並希望獲得更完善的保護。

卡特（Jonita Carter, 碼頭工人）：強調碼頭工人在疫情期間的貢獻，要求合理的工資和保障，並指出家庭關係在港口工人間的普遍性。

羅薩達（Joe Losada）：認為港口的發展違反先前承諾，強調工作是世代相傳的，必須保護這些工作。

美國海運聯盟（United States Maritime Alliance, USMX）：承諾更新協議，提議調漲工資50%，但被國際碼頭工人協會拒絕。"
4590,202410020009,美股四大指數在2024年10月1日收盤時全數下跌，主要受到以色列與伊朗緊張局勢升高及美國港口大罷工影響。道瓊工業指數下跌173.18點，收於42156.97點；標普500指數下跌53.73點，收於5708.75點；那斯達克指數大跌278.81點，收於17910.36點；費城半導體指數下滑148.12點，收於5024.94點。市場對中東地區的地緣政治風險及美國國內勞工問題的擔憂，導致投資者情緒不安，進而影響股市表現。,"1. 2024年10月01日，美股4大指數收盤齊跌，主要受到以色列與伊朗緊張局勢升高及美國港口大罷工的影響。

2. 道瓊工業指數下跌173.18點，跌幅0.41%，收報42156.97點。

3. 標普500指數小挫53.73點，跌幅0.93%，收在5708.75點。

4. 那斯達克指數大跌278.81點，跌幅1.53%，收在17910.36點。

5. 費城半導體指數滑落148.12點，跌幅2.86%，收5024.94點。","以色列與伊朗：近期緊張局勢升高，可能對市場造成影響。

美國港口：大罷工事件對市場產生負面影響，導致美股下跌。

美股市場：受到地緣政治緊張和港口罷工的雙重影響，四大指數全數下跌。"
4590,202410010441,美國東部和墨西哥灣沿岸的14個港口碼頭工人於2024年10月1日午夜起展開罷工，這是自1977年以來首次大規模罷工。國際碼頭工人協會（ILA）在拒絕美國海運聯盟（USMX）的最終提案後，宣布關閉從緬因州到德州的所有港口。此次罷工可能導致美國經濟每週損失數十億美元，影響從食品到電子產品的出貨。ILA主席達傑特（Harold Daggett）表示，工人將堅持罷工以爭取應得的薪資和不受自動化影響的保護。罷工行動在社群媒體上引發關注，波士頓和費城等地的工人舉行抗議活動。,"1. 2024年10月01日午夜起，美國東部和墨西哥灣沿岸14個港口的碼頭工人展開罷工行動，因勞資談判未能達成最新的勞動合約。

2. 國際碼頭工人協會（ILA）宣布，這次罷工是近50年來首次整個東岸的罷工，並在2024年10月01日凌晨12時1分起關閉從緬因州到德州的所有港口。

3. 罷工行動可能導致美國經濟每週損失數十億美元，影響從食品到電子產品等各式產品的出貨。

4. 國際碼頭工人協會主席達傑特表示，工人準備堅持罷工，以爭取應得的薪資和不受自動化不利影響的保護。

5. 罷工行動在波士頓和費城等地設立罷工糾察線，工人舉著抗議標語，表達對於沒有公平合約就不工作的立場。這是1977年以來國際碼頭工人協會首次罷工。","國際碼頭工人協會（International Longshoremen's Association, ILA）：表示這次罷工是近50年來首次整個東岸的罷工，目的是爭取應得的薪資和不受自動化不利影響的保護。協會拒絕了美國海運聯盟的最終提案，並關閉了從緬因州到德州的所有港口。

達傑特（Harold Daggett, 國際碼頭工人協會主席）：在聲明中表示，協會已準備好長期罷工，以爭取應得的權益，並批評美國海運聯盟堅持外國擁有的海運承運人的獲利，而不補償工人。

美國海運聯盟（United States Maritime Alliance, USMX）：未回應尋求評論的要求，並被指責堅持外國擁有的海運承運人的獲利，而不補償工人。

碼頭工人：在波士頓和費城等地設立罷工糾察線，舉著「沒有公平合約就不工作」和「獲利凌駕於人不可接受」的標語，表達對現狀的不滿。"
4590,202410010403,美東碼頭工人於美東時間10月1日零時起展開罷工，導致美國東岸和墨西哥灣海岸所有港口關閉，可能推升海運運價與運輸成本。業界關注「海轉空」效應是否會出現，但空運業者表示，由於中國十一長假，客戶提前因應，至10月中旬尚未出現此效應。業者指出，具較高附加經濟價值的貨物如消費性電子產品較有可能轉空運，而半成品或民生消費相關貨物難以負擔空運費用。未來是否出現「海轉空」效應，需觀察中國假期結束後的市場動態。,"1. 2024年10月1日，美東碼頭工人於美東時間零時起展開罷工，導致美國東岸和墨西哥灣海岸所有港口關閉。此事件引發業界對「海轉空」效應的關注。

2. 空運業者表示，由於中國十一長假，客戶提前因應，至10月中旬尚未出現「海轉空」效應。業者預估，可能要等到中國十一長假結束後，工廠開始上班並陸續出貨，10月第3週較有機會出現此效應。

3. 業者指出，具較高附加經濟價值的貨物，如消費性電子產品，較有可能從海運轉為空運。半成品或民生消費相關貨物難以負擔空運費用，而AI伺服器等高價產品多數已採空運出貨。

4. 部分船公司已通知客戶加收GRI（綜合費率附加費），預計將增加相關業者營收。然而，由於第4季為海運淡季，船公司出貨壓力不大，罷工影響力可能有限。

5. 若美東航線停擺，替代航路選擇有限，可能需經由加拿大再走內陸鐵路與卡車運輸，運輸成本將大幅增加。此情況可能牽動全球多個產業，預料會有一定程度的海運轉空運效應。","美國海運聯盟（USMX）：與國際碼頭工人協會（ILA）就勞資議題進行協商，但未能在合約屆期前達成共識，導致罷工。

國際碼頭工人協會（ILA）：於美東時間10月1日零時起展開罷工，關閉美國東岸和墨西哥灣海岸所有港口。

空運業者：表示目前尚未出現「海轉空」效應，因中國十一長假和市場預期罷工心理，預計到10月中旬都不會有此效應，需觀察至10月第3週。

業界聲音：認為第4季是海運淡季，船公司出貨壓力不大，罷工影響可能有限，後續發展有待觀察。

其他業者：指出美東航線停擺後，替代航路選擇有限，運輸成本將大幅增加，可能會有海運轉空運效應，但考量成本，規模不會太大。"
4590,202410010391,美東碼頭工人於美東時間10月1日零時起展開罷工，關閉美國東岸和墨西哥灣海岸所有港口，對全球物流鏈造成衝擊。長榮海運、萬海及陽明等貨櫃三雄已啟動應變計劃。長榮表示將調整船期及後勤作業，萬海則調整船舶航速與靠泊計劃，陽明向客戶發出緊急因應措施，並評估加收「碼頭壅塞附加費」與「GRI（綜合費率附加費）」。美國海運聯盟（USMX）與國際碼頭工人協會（ILA）過去24小時協商未果，業界預期罷工將影響國內外物流運輸。陽明強調，將盡力維持船舶航行和貨物流動，但客戶需負擔替代處置方式的額外費用。,"1. 2023年10月1日，美東時間零時起，國際碼頭工人協會（ILA）在美國東岸和墨西哥灣海岸的所有港口展開罷工，導致這些港口關閉。

2. 長榮海運表示，針對美東罷工事件，將密切關注局勢發展，並適時調整船期及後勤作業，以應對形勢的複雜變化。

3. 萬海強調，將與美國子公司、聯營同行及碼頭保持緊密聯繫，隨時調整船舶航速與靠泊計劃，以應對罷工狀況的變化。

4. 陽明海運向客戶發出緊急因應措施，並評估加收「碼頭壅塞附加費」與「GRI（綜合費率附加費）」，同時動態調整航線靠港以降低影響。

5. 陽明海運指出，停工期間可能出現廣泛的服務中斷，包括暫停或取消預訂、無法交付貨物及設施關閉，並強調客戶需負擔替代處置方式產生的額外費用。","長榮海運：由於美東罷工事件形勢複雜且不斷變化，長榮海運密切關注局勢發展，並做好應對各種可能情況的準備，適時調整船期及相關後勤作業。

萬海：針對美東罷工的因應，將會與美國子公司、聯營同行與碼頭都保持緊密聯繫，隨時因應罷工狀況的變化，調整船舶航速與靠泊計劃。

陽明：將持續關注最新情況，並動態調整航線靠港，以降低受影響範圍並確保客戶服務；同時依市場狀況決定，評估加收「碼頭壅塞附加費」、「GRI（綜合費率附加費）」。陽明也向客戶發出最新緊急應變措施，強調將盡力維持船舶航行和貨物流動，但有需要替代處置方式時，客戶需要負擔額外費用。陽明將繼續與客戶密切合作，盡量減少額外成本，目前尚無跡象顯示停工何時結束或何時恢復正常。"
4590,202410010389,數以萬計的美國碼頭工人於2024年10月1日發動罷工，這是近50年來首次，導致美國東岸至墨西哥灣沿岸的港口全面停擺。罷工的核心原因在於工資漲幅和自動化技術引進的議題未決，導致新勞雇合約談判陷入僵局，影響約2萬5000名碼頭工人。摩根大通估計，罷工每天將使美國經濟損失50億美元。美國經濟評議會警告，罷工將癱瘓美國貿易，影響食物、醫藥等進口。企業界呼籲總統拜登調解，但拜登表示不會強迫工人復工。,"1. 2024年10月01日零時，國際碼頭工人協會（ILA）成員在美國各主要港口展開罷工，這是近50年來首次大規模罷工，導致美國東岸至墨西哥灣沿岸的港口全面停擺。

2. 罷工的主要原因是工資漲幅與引進自動化技術的議題未決，代表資方的美國海運聯盟（USMX）表示，攸關2萬5000名碼頭工人的新勞雇合約談判已數月陷入僵局。

3. 摩根大通估計，這場罷工可能造成美國經濟每天蒙受高達50億美元的損失，並且不認為罷工將拖延超過1週。

4. 美國經濟評議會在2024年09月30日警告，罷工將「癱瘓美國貿易」，導致食物、醫藥、消費性電子產品與服飾的進口卡關，但碼頭工會表示不會中斷軍事物資的處理作業。

5. 企業界領袖呼籲美國總統拜登調解這場勞資紛爭，因為港口關閉將撼動美國經濟，而再過5週就要舉行總統大選，但拜登在9月29日重申，他不會強迫碼頭工人返回工作崗位。","國際碼頭工人協會（ILA）：成員在勞雇合約到期後展開罷工，主要因工資漲幅與自動化技術引進的議題未決。

美國海運聯盟（USMX）：表示新勞雇合約談判因工資和自動化問題陷入僵局，影響2萬5000名碼頭工人。

美國經濟評議會：警告罷工將癱瘓美國貿易，導致食物、醫藥、消費性電子產品與服飾的進口受阻。

碼頭工會：表示不會中斷軍事物資的處理作業，顯示對國家安全的考量。

摩根大通：估計罷工可能造成美國經濟每天損失50億美元，但不認為罷工會超過1週。

企業界領袖：呼籲美國總統拜登調解勞資紛爭，因為港口關閉將影響美國經濟，且總統大選在即。

拜登（美國總統）：重申不會強迫碼頭工人返回工作崗位，顯示對工人權益的尊重。"
